time,avg_temp,power
0,300,9.9999999920999e-07
0.01,300.00000001195,1.0036811329538e-06
0.02,300.00000002395,1.0088354865241e-06
0.03,300.00000003601,1.0146085873372e-06
0.04,300.00000004814,1.0206923124784e-06
0.05,300.00000006034,1.0269783735089e-06
0.06,300.00000007262,1.0334305340962e-06
0.07,300.00000008497,1.0400385866135e-06
0.08,300.0000000974,1.0468017285668e-06
0.09,300.00000010996,1.0537332130591e-06
0.1,300.0000001226,1.060819554455e-06
0.11,300.00000013532,1.0680710785877e-06
0.12,300.00000014813,1.0754942860157e-06
0.13,300.00000016103,1.0830951419122e-06
0.14,300.00000017403,1.0908796307069e-06
0.15,300.00000018711,1.0988539196056e-06
0.16,300.0000002003,1.1070244248525e-06
0.17,300.00000021358,1.1153978463348e-06
0.18,300.00000022692,1.123975975281e-06
0.19,300.00000024035,1.1327751668349e-06
0.2,300.00000025389,1.1418001304584e-06
0.21,300.00000026754,1.1510583466762e-06
0.22,300.0000002813,1.1605580918576e-06
0.23,300.00000029517,1.1703081691978e-06
0.24,300.00000030916,1.1803178588881e-06
0.25,300.00000032327,1.1905969248607e-06
0.26,300.0000003375,1.2011556295474e-06
0.27,300.00000035186,1.2120047708801e-06
0.28,300.00000036642,1.2231616153183e-06
0.29,300.00000038111,1.2346284497171e-06
0.3,300.00000039594,1.2464204911303e-06
0.31,300.00000041091,1.2585517530751e-06
0.32,300.00000042603,1.2710365097453e-06
0.33,300.0000004413,1.2838896558522e-06
0.34,300.00000045672,1.297126858871e-06
0.35,300.00000047231,1.3107646523513e-06
0.36,300.00000048806,1.3248205147516e-06
0.37,300.00000050399,1.3393134839591e-06
0.38,300.00000052009,1.3542623248973e-06
0.39,300.00000053637,1.3696879847135e-06
0.4,300.00000055284,1.3856125761468e-06
0.41,300.0000005695,1.4020595381096e-06
0.42,300.00000058636,1.4190537647235e-06
0.43,300.00000060343,1.4366217306933e-06
0.44,300.00000062071,1.454791621866e-06
0.45,300.00000063821,1.4735934758723e-06
0.46,300.00000065594,1.4930593351549e-06
0.47,300.00000067391,1.5132234147304e-06
0.48,300.00000069212,1.5341222865127e-06
0.49,300.00000071059,1.5557950824419e-06
0.5,300.00000072932,1.5782837186282e-06
0.51,300.00000074833,1.6016331430529e-06
0.52,300.00000076762,1.6258916097163e-06
0.53,300.00000078721,1.6511109828985e-06
0.54,300.0000008071,1.677347074676e-06
0.55,300.00000082731,1.7046600208113e-06
