time,avg_temp,power
0,300,9.9999999927979e-07
0.01,300.00000002396,1.0043379073224e-06
0.02,300.00000004804,1.0104236591711e-06
0.03,300.00000007228,1.0172578102007e-06
0.04,300.00000009669,1.0244764729285e-06
0.05,300.00000012127,1.031951098568e-06
0.06,300.00000014603,1.039638848135e-06
0.07,300.00000017098,1.047528150105e-06
0.08,300.00000019612,1.0556189923773e-06
0.09,300.00000022146,1.063915782504e-06
0.1,300.000000247,1.0724247588778e-06
0.11,300.00000027274,1.0811530560234e-06
0.12,300.0000002987,1.0901083742069e-06
0.13,300.00000032487,1.0992988715405e-06
0.14,300.00000035126,1.1087331390133e-06
0.15,300.00000037788,1.1184202073663e-06
0.16,300.00000040474,1.128369566979e-06
0.17,300.00000043184,1.1385911939415e-06
0.18,300.00000045919,1.1490955798581e-06
0.19,300.00000048679,1.1598937645916e-06
0.2,300.00000051465,1.170997371841e-06
0.21,300.00000054278,1.1824186475354e-06
0.22,300.00000057119,1.1941705013785e-06
0.23,300.00000059989,1.2062665517354e-06
0.24,300.00000062887,1.2187211741176e-06
0.25,300.00000065816,1.2315495537995e-06
0.26,300.00000068776,1.2447674328221e-06
0.27,300.00000071769,1.2583922633255e-06
0.28,300.00000074794,1.2724419282995e-06
0.29,300.00000077853,1.2869354309407e-06
0.3,300.00000080948,1.3018929457719e-06
0.31,300.00000084079,1.3173358914465e-06
0.32,300.00000087248,1.3332870191493e-06
0.33,300.00000090455,1.3497705130558e-06
0.34,300.00000093702,1.366812101843e-06
0.35,300.00000096991,1.3844391814133e-06
0.36,300.00000100323,1.4026809497337e-06
0.37,300.00000103699,1.4215685548846e-06
0.38,300.00000107121,1.441135257878e-06
0.39,300.0000011059,1.4614166118175e-06
0.4,300.00000114109,1.4824506593699e-06
0.41,300.0000011768,1.5042781507446e-06
0.42,300.00000121303,1.5269427846358e-06
0.43,300.00000124982,1.5504914749583e-06
0.44,300.00000128718,1.5749746466573e-06
0.45,300.00000132514,1.6004465642533e-06
0.46,300.00000136372,1.6269656974021e-06
0.47,300.00000140294,1.6545951283748e-06
0.48,300.00000144285,1.6834030069884e-06
0.49,300.00000148345,1.7134630595843e-06
0.5,300.00000152479,1.7448551595451e-06
0.51,300.0000015669,1.7776659679403e-06
0.52,300.00000160981,1.8119896546841e-06
0.53,300.00000165356,1.8479291997688e-06
0.54,300.00000169819,1.8855956339018e-06
0.55,300.00000174374,1.9251110904142e-06
0.56,300.00000179026,1.9666091015907e-06
0.57,300.0000018378,2.0102359847358e-06
0.58,300.00000188641,2.0561523918082e-06
0.59,300.00000193614,2.1045350731346e-06
0.6,300.00000198707,2.1555788967987e-06
0.61,300.00000203925,2.2094991698293e-06
0.62,300.00000209275,2.2665343159315e-06
0.63,300.00000214766,2.3269495816541e-06
0.64,300.00000220406,2.3910386046111e-06
0.65,300.00000226204,2.4591299304515e-06
0.66,300.0000023217,2.5315909657889e-06
0.67,300.00000238314,2.6088337371195e-06
0.68,300.0000024465,2.6913216630132e-06
0.69,300.0000025119,2.7795775514805e-06
0.7,300.00000257948,2.8741930863901e-06
0.71,300.00000264941,2.9758415237456e-06
0.72,300.00000272186,3.0852867510606e-06
0.73,300.00000279704,3.2034043482964e-06
0.74,300.00000287515,3.3311995225352e-06
0.75,300.00000295645,3.4698308777129e-06
0.76,300.0000030412,3.6206395094e-06
0.77,300.00000312973,3.7851846967039e-06
0.78,300.00000322238,3.9652879462353e-06
0.79,300.00000331954,4.1630948072254e-06
0.8,300.00000342168,4.3811210867766e-06
0.81,300.00000352931,4.6223614978494e-06
0.82,300.00000364302,4.8903908045404e-06
0.83,300.00000376351,5.1895020811027e-06
0.84,300.00000389159,5.5248848557505e-06
0.85,300.00000402819,5.902855907837e-06
0.86,300.00000417444,6.3311607660714e-06
0.87,300.00000433164,6.8193710925243e-06
0.88,300.00000450137,7.3794133568281e-06
0.89,300.00000468552,8.0262792325246e-06
0.9,300.00000488641,8.7789900947523e-06
0.91,300.00000510685,9.6619210339581e-06
0.92,300.00000535033,1.0706639650666e-05
0.93,300.00000562122,1.195449125409e-05
0.94,300.00000592502,1.3460280925677e-05
0.95,300.00000626878,1.5297590214146e-05
0.96,300.00000666164,1.7566566551228e-05
0.97,300.00000711555,2.040551162289e-05
0.98,300.00000764646,2.4008404651752e-05
0.99,300.00000827595,2.8651860294188e-05
1,300.00000903369,3.4737365131348e-05
1.01,300.00000996126,4.2858744730571e-05
1.02,300.00001111804,5.3912169381036e-05
1.03,300.00001259064,6.9279468119021e-05
1.04,300.00001450827,9.1140750277036e-05
1.05,300.00001706832,0.00012302079371051
1.06,300.00002058022,0.00017076924987663
1.07,300.00002554269,0.00024436852467971
1.08,300.00003278354,0.00036136812207335
1.09,300.00004372107,0.00055361671736015
1.1,300.00006086905,0.00088090775600908
