time,avg_temp,power
0,300,9.999999992096e-07
0.002,300.00000000239,1.0001585735802e-06
0.004,300.00000000478,1.0006033941523e-06
0.006,300.00000000717,1.001266115518e-06
0.008,300.00000000957,1.0020830757153e-06
0.01,300.00000001196,1.0030082878116e-06
0.012,300.00000001436,1.0040118219361e-06
0.014,300.00000001676,1.0050710853025e-06
0.016,300.00000001916,1.0061710220068e-06
0.018,300.00000002157,1.0073005555714e-06
0.02,300.00000002398,1.0084526583485e-06
0.022,300.00000002639,1.009621780977e-06
0.024,300.0000000288,1.010804701652e-06
0.026,300.00000003122,1.0119985832468e-06
0.028,300.00000003364,1.0132020227659e-06
0.03,300.00000003606,1.0144135146446e-06
0.032,300.00000003849,1.0156325279755e-06
0.034,300.00000004092,1.0168582120626e-06
0.036,300.00000004335,1.0180904547022e-06
0.038,300.00000004578,1.0193287284639e-06
0.04,300.00000004822,1.0205731220745e-06
0.042,300.00000005066,1.0218232686675e-06
0.044,300.0000000531,1.0230793531392e-06
0.046,300.00000005555,1.0243410891314e-06
0.048,300.00000005799,1.0256087073269e-06
0.05,300.00000006045,1.0268819623619e-06
0.052,300.0000000629,1.0281611064918e-06
0.054,300.00000006536,1.0294459157402e-06
0.056,300.00000006782,1.0307366523462e-06
0.058,300.00000007029,1.032033103937e-06
0.06,300.00000007275,1.0333355372094e-06
0.062,300.00000007522,1.0346437464952e-06
0.064,300.0000000777,1.0359580003423e-06
0.066,300.00000008017,1.0372780973006e-06
0.068,300.00000008265,1.0386043065405e-06
0.07,300.00000008514,1.0399364295767e-06
0.072,300.00000008762,1.0412747356532e-06
0.074,300.00000009011,1.0426190285925e-06
0.076,300.0000000926,1.0439695774793e-06
0.078,300.0000000951,1.045326188103e-06
0.08,300.0000000976,1.0466891292962e-06
0.082,300.0000001001,1.0480582086422e-06
0.084,300.00000010261,1.0494336946908e-06
0.086,300.00000010512,1.0508153967289e-06
0.088,300.00000010763,1.0522035830304e-06
0.09,300.00000011014,1.0535980645387e-06
0.092,300.00000011266,1.0549991092594e-06
0.094,300.00000011519,1.0564065297788e-06
0.096,300.00000011771,1.0578205938603e-06
0.098,300.00000012024,1.0592411157116e-06
0.1,300.00000012277,1.0606683628729e-06
0.102,300.00000012531,1.0621021511843e-06
0.104,300.00000012785,1.0635427479892e-06
0.106,300.00000013039,1.0649899707524e-06
0.108,300.00000013294,1.0664440866375e-06
0.11,300.00000013549,1.0679049147487e-06
0.112,300.00000013804,1.0693727221069e-06
0.114,300.0000001406,1.0708473294471e-06
0.116,300.00000014316,1.0723290036601e-06
0.118,300.00000014572,1.0738175671359e-06
0.12,300.00000014829,1.0753132866616e-06
0.122,300.00000015086,1.0768159862818e-06
0.124,300.00000015343,1.0783259326972e-06
0.126,300.00000015601,1.0798429516375e-06
0.128,300.00000015859,1.0813673097333e-06
0.13,300.00000016118,1.0828988343963e-06
0.132,300.00000016377,1.0844377922282e-06
0.134,300.00000016636,1.0859840123293e-06
0.136,300.00000016896,1.0875377612903e-06
0.138,300.00000017156,1.089098869916e-06
0.14,300.00000017416,1.0906676048057e-06
0.142,300.00000017677,1.0922437984901e-06
0.144,300.00000017938,1.0938277176092e-06
0.146,300.00000018199,1.0954191964185e-06
0.148,300.00000018461,1.0970185016213e-06
0.15,300.00000018723,1.0986254692219e-06
0.152,300.00000018986,1.1002403660156e-06
0.154,300.00000019249,1.1018630297634e-06
0.156,300.00000019513,1.1034937273754e-06
