time,avg_temp,power
0,300,9.9999999927979e-07
0.001,300.0000000012,1.00009133914e-06
0.002,300.00000000239,1.000266706975e-06
0.003,300.00000000359,1.0005159162487e-06
0.004,300.00000000478,1.0008296251208e-06
0.005,300.00000000598,1.0011991949658e-06
0.006,300.00000000718,1.0016168969099e-06
0.007,300.00000000837,1.0020759731088e-06
0.008,300.00000000957,1.0025705693378e-06
0.009,300.00000001077,1.003095654599e-06
0.01,300.00000001197,1.003646924699e-06
0.011,300.00000001317,1.0042207077425e-06
0.012,300.00000001437,1.0048138769451e-06
0.013,300.00000001557,1.0054237728006e-06
0.014,300.00000001678,1.0060481349234e-06
0.015,300.00000001798,1.0066850430572e-06
0.016,300.00000001918,1.007332866387e-06
0.017,300.00000002039,1.0079902201868e-06
0.018,300.00000002159,1.0086559288477e-06
0.019,300.0000000228,1.0093289944056e-06
0.02,300.000000024,1.0100085697812e-06
0.021,300.00000002521,1.0106939360423e-06
0.022,300.00000002642,1.011384483093e-06
0.023,300.00000002763,1.0120796932761e-06
0.024,300.00000002884,1.0127791274514e-06
0.025,300.00000003005,1.0134824131769e-06
0.026,300.00000003126,1.0141892346732e-06
0.027,300.00000003248,1.0148993243051e-06
0.028,300.00000003369,1.0156124553465e-06
0.029,300.0000000349,1.0163284358385e-06
0.03,300.00000003612,1.0170471033719e-06
0.031,300.00000003734,1.0177683206569e-06
0.032,300.00000003855,1.0184919717594e-06
0.033,300.00000003977,1.0192179589041e-06
0.034,300.00000004099,1.0199461997581e-06
0.035,300.00000004221,1.0206766251231e-06
0.036,300.00000004343,1.0214091769745e-06
0.037,300.00000004465,1.0221438067944e-06
0.038,300.00000004587,1.022880474155e-06
0.039,300.0000000471,1.0236191455147e-06
0.04,300.00000004832,1.024359793194e-06
0.041,300.00000004955,1.0251023945055e-06
0.042,300.00000005077,1.0258469310137e-06
0.043,300.000000052,1.0265933879059e-06
0.044,300.00000005323,1.0273417534562e-06
0.045,300.00000005445,1.0280920185711e-06
0.046,300.00000005568,1.0288441764017e-06
0.047,300.00000005691,1.0295982220145e-06
0.048,300.00000005815,1.030354152111e-06
0.049,300.00000005938,1.031111964789e-06
0.05,300.00000006061,1.0318716593399e-06
0.051,300.00000006184,1.0326332360756e-06
0.052,300.00000006308,1.033396696182e-06
0.053,300.00000006432,1.0341620415932e-06
0.054,300.00000006555,1.0349292748855e-06
0.055,300.00000006679,1.0356983991865e-06
0.056,300.00000006803,1.0364694180977e-06
0.057,300.00000006927,1.0372423356293e-06
0.058,300.00000007051,1.0380171561434e-06
0.059,300.00000007175,1.0387938843071e-06
0.06,300.00000007299,1.0395725250513e-06
0.061,300.00000007423,1.0403530835367e-06
0.062,300.00000007548,1.0411355651239e-06
0.063,300.00000007672,1.0419199753487e-06
0.064,300.00000007797,1.0427063199002e-06
0.065,300.00000007922,1.0434946046037e-06
0.066,300.00000008046,1.044284835404e-06
0.067,300.00000008171,1.0450770183529e-06
0.068,300.00000008296,1.0458711595982e-06
0.069,300.00000008421,1.0466672653736e-06
0.07,300.00000008547,1.047465341991e-06
0.071,300.00000008672,1.0482653958335e-06
0.072,300.00000008797,1.0490674333497e-06
0.073,300.00000008923,1.0498714610482e-06
0.074,300.00000009048,1.0506774854943e-06
0.075,300.00000009174,1.0514855133053e-06
0.076,300.000000093,1.0522955511488e-06
0.077,300.00000009425,1.053107605739e-06
0.078,300.00000009551,1.0539216838353e-06
0.079,300.00000009677,1.0547377922398e-06
0.08,300.00000009803,1.0555559377967e-06
0.081,300.0000000993,1.0563761273898e-06
0.082,300.00000010056,1.0571983679431e-06
0.083,300.00000010182,1.0580226664182e-06
0.084,300.00000010309,1.0588490298147e-06
0.085,300.00000010436,1.0596774651693e-06
0.086,300.00000010562,1.0605079795549e-06
0.087,300.00000010689,1.0613405800814e-06
0.088,300.00000010816,1.0621752738938e-06
0.089,300.00000010943,1.0630120681733e-06
0.09,300.0000001107,1.0638509701365e-06
0.091,300.00000011197,1.0646919870354e-06
0.092,300.00000011325,1.0655351261577e-06
0.093,300.00000011452,1.066380394826e-06
0.094,300.0000001158,1.0672278003984e-06
0.095,300.00000011707,1.0680773502685e-06
0.096,300.00000011835,1.0689290518654e-06
0.097,300.00000011963,1.0697829126533e-06
0.098,300.00000012091,1.0706389401327e-06
0.099,300.00000012219,1.0714971418392e-06
0.1,300.00000012347,1.0723575253448e-06
0.101,300.00000012475,1.0732200982572e-06
0.102,300.00000012604,1.0740848682205e-06
0.103,300.00000012732,1.0749518429151e-06
0.104,300.00000012861,1.0758210300575e-06
0.105,300.00000012989,1.0766924374013e-06
0.106,300.00000013118,1.0775660727368e-06
0.107,300.00000013247,1.0784419438917e-06
0.108,300.00000013376,1.0793200587305e-06
0.109,300.00000013505,1.0802004251552e-06
0.11,300.00000013634,1.0810830511058e-06
0.111,300.00000013763,1.0819679445598e-06
0.112,300.00000013893,1.0828551135326e-06
0.113,300.00000014022,1.0837445660787e-06
0.114,300.00000014152,1.0846363102902e-06
0.115,300.00000014281,1.0855303542984e-06
0.116,300.00000014411,1.0864267062733e-06
0.117,300.00000014541,1.0873253744242e-06
0.118,300.00000014671,1.0882263669996e-06
0.119,300.00000014801,1.0891296922881e-06
0.12,300.00000014932,1.0900353586175e-06
0.121,300.00000015062,1.0909433743561e-06
0.122,300.00000015192,1.0918537479122e-06
0.123,300.00000015323,1.092766487735e-06
0.124,300.00000015454,1.0936816023142e-06
0.125,300.00000015585,1.0945991001806e-06
0.126,300.00000015715,1.0955189899064e-06
0.127,300.00000015846,1.0964412801051e-06
0.128,300.00000015978,1.097365979432e-06
0.129,300.00000016109,1.0982930965847e-06
0.13,300.0000001624,1.0992226403026e-06
0.131,300.00000016372,1.1001546193681e-06
0.132,300.00000016503,1.1010890426059e-06
0.133,300.00000016635,1.1020259188839e-06
0.134,300.00000016767,1.1029652571135e-06
0.135,300.00000016899,1.1039070662492e-06
0.136,300.00000017031,1.1048513552897e-06
0.137,300.00000017163,1.1057981332777e-06
0.138,300.00000017295,1.1067474093e-06
0.139,300.00000017427,1.1076991924881e-06
0.14,300.0000001756,1.1086534920184e-06
0.141,300.00000017692,1.1096103171127e-06
0.142,300.00000017825,1.1105696770376e-06
0.143,300.00000017958,1.1115315811058e-06
0.144,300.00000018091,1.1124960386758e-06
0.145,300.00000018224,1.1134630591526e-06
0.146,300.00000018357,1.1144326519877e-06
0.147,300.0000001849,1.1154048266788e-06
0.148,300.00000018624,1.1163795927715e-06
0.149,300.00000018757,1.1173569598583e-06
0.15,300.00000018891,1.1183369375797e-06
0.151,300.00000019024,1.1193195356238e-06
0.152,300.00000019158,1.1203047637272e-06
0.153,300.00000019292,1.1212926316748e-06
0.154,300.00000019426,1.1222831493005e-06
0.155,300.00000019561,1.1232763264876e-06
0.156,300.00000019695,1.1242721731686e-06
0.157,300.00000019829,1.1252706993255e-06
0.158,300.00000019964,1.1262719149908e-06
0.159,300.00000020099,1.1272758302473e-06
0.16,300.00000020233,1.1282824552285e-06
0.161,300.00000020368,1.1292918001186e-06
0.162,300.00000020503,1.1303038751534e-06
0.163,300.00000020639,1.1313186906202e-06
