time,CR_Boron,IntegratedPower,ScaledTotalPower,avg_Tfuel,max_Tfuel
0,0.00066999999999993,0,910,299.99999999999,300
0.01,0.00066999999999993,9.1000147474448,910.00294948895,300.00000376597,300.00000660152
0.02,0.00066999999999993,18.200060509153,910.00620285279,300.00000753197,300.00001320305
0.03,0.00066999999999993,27.300137016056,910.00909852774,300.00001129798,300.00001980461
0.04,0.00066999999999993,36.400241028975,910.01170405605,300.00001506401,300.00002640619
0.05,0.00066999999999993,45.500370753471,910.01424084322,300.00001883004,300.00003300778
0.06,0.00065883564683326,54.600524178029,910.01644406829,300.00002259609,300.0000396094
0.07,0.00064767129366662,63.707088286616,911.29637764911,300.00002636479,300.00004621548
0.08,0.0006365069405,72.838278417433,914.94164851423,300.00003014369,300.00005283913
0.09,0.00062534258733334,82.016761793766,920.75502675248,300.00003394218,300.00005949682
0.1,0.00061417823416664,91.263743247965,928.64126408727,300.00003776902,300.00006620382
0.11,0.00060301388099996,100.59940635795,938.49135790883,300.00004163258,300.00007297473
0.12,0.00059184952783333,110.04307131144,950.24163279007,300.00004554084,300.0000798235
0.13,0.00058068517466662,119.61345782152,963.83566922584,300.00004950156,300.00008676364
0.14,0.0005695208215,129.3288575531,979.24427709034,300.0000535223,300.00009380839
0.15,0.00055835646833328,139.20732852976,996.44991824197,300.00005761054,300.00010097075
0.16,0.00054719211516661,149.26685367951,1015.4551117084,300.00006177371,300.00010826374
0.17,0.00053602776200001,159.52550313393,1036.274779174,300.0000660193,300.00011570039
0.18,0.00052486340883333,170.00158003715,1058.9406014713,300.00007035489,300.00012329393
0.19,0.00051369905566662,180.71376767792,1083.4969266829,300.0000747882,300.00013105783
0.2,0.00050253470249999,191.68126947536,1110.0034328037,300.00007932718,300.00013900597
0.21,0.00049137034933329,202.92395178304,1138.5330287338,300.00008398006,300.00014715268
0.22,0.00048020599616666,214.46248560753,1169.1737361631,300.00008875539,300.00015551289
0.23,0.00046904164299996,226.31849379306,1202.0279009422,300.00009366211,300.00016410221
0.24,0.0004578772898333,238.51470199626,1237.2137396982,300.00009870964,300.00017293704
0.25,0.00044671293666663,251.0750983012,1274.8655212907,300.00010390791,300.00018203469
0.26,0.00043554858349999,264.02510117632,1315.1350537332,300.00010926743,300.00019141352
0.27,0.00042438423033332,277.39173977522,1358.1926660476,300.00011479939,300.00020109304
0.28,0.00041321987716663,291.20384729926,1404.2288387595,300.00012051572,300.00021109404
0.29,0.00040205552399999,305.49227110594,1453.4559225765,300.00012642919,300.0002214388
0.3,0.0003908911708333,320.29010122,1506.1101002345,300.0001325535,300.0002321512
0.31,0.00037972681766664,335.63292097507,1562.4538507811,300.00013890338,300.00024325692
0.32,0.00036856246449995,351.55908238885,1622.7784319733,300.00014549469,300.00025478363
0.33,0.00035739811133331,368.11001042838,1687.4071759327,300.00015234459,300.00026676123
0.34,0.00034623375816667,385.33053984317,1756.6987070257,300.00015947162,300.00027922208
0.35,0.00033506940499995,403.26928950017,1831.0512243756,300.00016689593,300.00029220125
0.36,0.00032390505183332,421.97907921297,1910.9067181828,300.00017463935,300.00030573687
0.37,0.00031274069866664,441.51739523762,1996.7564867482,300.0001827257,300.00031987042
0.38,0.00030157634549999,461.94691108079,2089.1466818852,300.0001911809,300.00033464711
0.39,0.00029041199233333,483.33607149483,2188.6854009231,300.00020003329,300.00035011634
0.4,0.00027924763916665,505.7597485531,2296.0500107311,300.00020931386,300.00036633213
0.41,0.00026808328599998,529.29998012371,2411.9963033907,300.00021905656,300.00038335368
0.42,0.00025691893283333,554.04680248973,2537.3681698131,300.00022929867,300.00040124594
0.43,0.00024575457966667,580.09919080129,2673.1094924995,300.00024008113,300.00042008033
0.44,0.00023459022649999,607.56612320728,2820.2769886973,300.00025144907,300.00043993547
0.45,0.00022342587333332,636.56778682753,2980.0557353528,300.00026345222,300.00046089808
0.46,0.00021226152016667,667.23694684152,3153.7762674457,300.00027614554,300.00048306394
0.47,0.00020109716699998,699.72050324159,3342.9350125693,300.00028958983,300.00050653902
0.48,0.00018993281383334,734.18126398874,3549.2171368596,300.00030385248,300.00053144079
0.49,0.00017876846066666,770.79996792388,3774.5236501688,300.0003190083,300.00055789962
0.5,0.0001676041075,809.77759651539,4021.0020681331,300.00033514047,300.00058606051
0.51,0.00015643975433332,851.33801997025,4291.0826228381,300.00035234165,300.00061608496
0.52,0.00014527540116665,895.73103127562,4587.5196382371,300.00037071524,300.00064815314
0.53,0.00013411104799999,943.23583085143,4913.4402769239,300.0003903768,300.00068246647
0.54,0.00012294669483333,994.16503559621,5272.4006720325,300.00041145572,300.00071925045
0.55,0.00011178234166665,1048.8692991094,5668.4520305982,300.00043409714,300.000758758
0.56,0.0001006179885,1107.7426455641,6106.2172603409,300.00045846416,300.00080127333
0.57,8.9453635333322e-05,1171.2286381658,6590.9812599979,300.00048474037,300.00084711638
0.58,7.8289282166659e-05,1239.8275254944,7128.7962057375,300.00051313282,300.00089664796
0.59,6.7124929000002e-05,1314.1045354142,7726.6057782132,300.00054387547,300.00095027574
0.6,5.596057583333e-05,1394.6995182449,8392.3907879361,300.00057723317,300.0010084612
0.61,4.4796222666667e-05,1482.3381791154,9135.3413861554,300.00061350629,300.00107172773
0.62,3.3631869499997e-05,1577.8451854409,9966.0598789431,300.00065303618,300.00114067007
0.63,2.2467516333331e-05,1682.1594908948,10896.801211835,300.00069621148,300.00121596538
0.64,1.1303163166666e-05,1796.3522843848,11941.757486177,300.00074347557,300.00129838615
0.65,1.3881e-07,1921.6480533999,13117.396316842,300.0007953353,300.00138881543
0.66,1.3881e-07,2059.4493494537,14442.862893911,300.00085237119,300.00148826461
0.67,1.3881e-07,2211.2386577552,15914.998766397,300.0009151968,300.00159780586
0.68,1.3881e-07,2378.4561865969,17528.507001929,300.00098440811,300.00171847936
0.69,1.3881e-07,2562.5879296193,19297.84160256,300.00106062017,300.00185135592
0.7,1.3881e-07,2765.2655137361,21237.675220799,300.00114450831,300.00199761342
0.71,1.3881e-07,2988.2776250828,23364.747048539,300.00123681283,300.00215854208
0.72,1.3881e-07,3233.5865916198,25697.046258865,300.00133834595,300.00233555781
0.73,1.3881e-07,3503.3444273388,28254.520884944,300.00144999837,300.00253021327
0.74,1.3881e-07,3799.9115897742,31058.911602133,300.00157274706,300.00274421148
0.75,1.3881e-07,4125.8769171532,34134.153873651,300.00170766352,300.00297942031
0.76,1.3881e-07,4484.0798367317,37506.430042051,300.00185592297,300.00323788832
