time,avg_temp,power
0,300,0
0.01,300.00000000599,1.0031229496335e-06
0.02,300.00000001802,1.0100806675389e-06
0.03,300.00000003013,1.0169658729342e-06
0.04,300.00000004233,1.0243765949794e-06
0.05,300.00000005462,1.03185318441e-06
0.06,300.000000067,1.0395698656944e-06
0.07,300.00000007948,1.0474568305956e-06
0.08,300.00000009205,1.0555488824546e-06
0.09,300.00000010471,1.0638436337828e-06
0.1,300.00000011748,1.0723493640597e-06
0.11,300.00000013035,1.0810753298437e-06
0.12,300.00000014333,1.0900266116665e-06
0.13,300.00000015641,1.0992142573383e-06
0.14,300.00000016961,1.1086441557196e-06
0.15,300.00000018292,1.1183278150059e-06
0.16,300.00000019635,1.1282724436375e-06
0.17,300.00000020989,1.1384900761587e-06
0.18,300.00000022356,1.1489892793078e-06
0.19,300.00000023736,1.1597828313845e-06
0.2,300.00000025129,1.1708807061418e-06
0.21,300.00000026536,1.1822966341276e-06
0.22,300.00000027956,1.1940420983443e-06
0.23,300.00000029391,1.2061319875138e-06
0.24,300.0000003084,1.2185794398614e-06
0.25,300.00000032304,1.2314012227989e-06
0.26,300.00000033784,1.2446111373925e-06
0.27,300.0000003528,1.2582280122019e-06
0.28,300.00000036792,1.2722685625755e-06
0.29,300.00000038322,1.2867526837687e-06
0.3,300.00000039869,1.3016997695701e-06
0.31,300.00000041434,1.3171318374079e-06
0.32,300.00000043018,1.3330709817285e-06
0.33,300.00000044621,1.3495418615427e-06
0.34,300.00000046245,1.3665696131745e-06
0.35,300.00000047889,1.3841820203421e-06
0.36,300.00000049554,1.4024077302691e-06
0.37,300.00000051242,1.4212782022938e-06
0.38,300.00000052952,1.440826172885e-06
0.39,300.00000054687,1.4610874328723e-06
0.4,300.00000056446,1.4820995124255e-06
0.41,300.0000005823,1.5039033249057e-06
0.42,300.00000060041,1.5265420537817e-06
0.43,300.0000006188,1.5500626965895e-06
0.44,300.00000063748,1.5745151436966e-06
0.45,300.00000065645,1.5999536543585e-06
0.46,300.00000067573,1.6264361244982e-06
0.47,300.00000069534,1.6540255272657e-06
0.48,300.00000071528,1.6827893746387e-06
0.49,300.00000073557,1.7128011577918e-06
0.5,300.00000075623,1.7441400158348e-06
0.51,300.00000077728,1.7768922162516e-06
0.52,300.00000079872,1.811151054924e-06
0.53,300.00000082058,1.8470184254352e-06
0.54,300.00000084289,1.8846049876912e-06
0.55,300.00000086565,1.9240318878277e-06
0.56,300.00000088889,1.9654312509551e-06
0.57,300.00000091265,2.0089481321457e-06
0.58,300.00000093693,2.0547414140465e-06
0.59,300.00000096178,2.102986096912e-06
0.6,300.00000098722,2.1538747173342e-06
0.61,300.00000101328,2.2076201259702e-06
0.62,300.00000104001,2.2644575947543e-06
0.63,300.00000106744,2.3246482917453e-06
0.64,300.0000010956,2.3884823183049e-06
0.65,300.00000112455,2.4562831812292e-06
0.66,300.00000115434,2.5284121147734e-06
0.67,300.00000118502,2.60527398592e-06
0.68,300.00000121665,2.687323427148e-06
0.69,300.00000124929,2.7750728230954e-06
0.7,300.00000128302,2.8691010433935e-06
0.71,300.00000131791,2.9700644905983e-06
0.72,300.00000135406,3.0787161740517e-06
0.73,300.00000139155,3.1958944868635e-06
0.74,300.0000014305,3.3225844355873e-06
0.75,300.00000147103,3.4599065312314e-06
0.76,300.00000151327,3.6091572602583e-06
0.77,300.00000155737,3.7718389849535e-06
0.78,300.0000016035,3.9497015218291e-06
0.79,300.00000165187,4.144791701826e-06
0.8,300.00000170267,4.3595158799927e-06
0.81,300.00000175618,4.5967171191371e-06
0.82,300.00000181267,4.8597728229646e-06
0.83,300.00000187248,5.1527174565868e-06
0.84,300.000001936,5.4803992795565e-06
0.85,300.00000200367,5.8486805831204e-06
0.86,300.00000207602,6.2646966265741e-06
0.87,300.00000215367,6.7371918785113e-06
0.88,300.00000223736,7.2769612294698e-06
0.89,300.00000232796,7.8974327324547e-06
0.9,300.00000242655,8.6154449755171e-06
0.91,300.00000253441,9.4522925426838e-06
0.92,300.00000265312,1.0435146301674e-05
0.93,300.00000278461,1.159900104438e-05
0.94,300.00000293132,1.298937476225e-05
0.95,300.0000030963,1.466608889061e-05
0.96,300.00000328341,1.6708622599295e-05
0.97,300.00000349764,1.9223784138996e-05
0.98,300.00000374546,2.2356836076949e-05
0.99,300.00000403539,2.6307831847535e-05
1,300.00000437878,3.135592110135e-05
1.01,300.00000479097,3.7896001221933e-05
1.02,300.00000529296,4.6494768124277e-05
1.03,300.000005914,5.7977690938615e-05
1.04,300.00000669537,7.3566016526438e-05
1.05,300.00000769636,9.5095972673941e-05
