time,avg_temp,power
0,300,9.9999999927979e-07
0.01,300.00000001197,1.0031230274892e-06
0.02,300.000000024,1.009843953478e-06
0.03,300.00000003612,1.0170211577777e-06
0.04,300.00000004832,1.0243411841248e-06
0.05,300.00000006061,1.0318682814864e-06
0.06,300.00000007299,1.0395638843801e-06
0.07,300.00000008546,1.0474604457878e-06
0.08,300.00000009803,1.0555486397653e-06
0.09,300.0000001107,1.0638447817729e-06
0.1,300.00000012347,1.0723503489346e-06
0.11,300.00000013634,1.0810763406466e-06
0.12,300.00000014931,1.0900279182183e-06
0.13,300.0000001624,1.0992152649779e-06
0.14,300.0000001756,1.1086455776927e-06
0.15,300.00000018891,1.1183289022706e-06
0.16,300.00000020233,1.1282739499733e-06
0.17,300.00000021588,1.1384912636811e-06
0.18,300.00000022955,1.148990868519e-06
0.19,300.00000024335,1.159784128335e-06
0.2,300.00000025728,1.1708823829676e-06
0.21,300.00000027135,1.1822980484057e-06
0.22,300.00000028555,1.1940438698314e-06
0.23,300.0000002999,1.206133527571e-06
0.24,300.00000031439,1.2185813149541e-06
0.25,300.00000032903,1.2314023992724e-06
0.26,300.00000034383,1.2446128071222e-06
0.27,300.00000035879,1.2582294403439e-06
0.28,300.00000037391,1.2722702869349e-06
0.29,300.00000038921,1.286754266043e-06
0.3,300.00000040468,1.3017016036818e-06
0.31,300.00000042033,1.3171335641777e-06
0.32,300.00000043617,1.333072945034e-06
0.33,300.00000045221,1.3495437401501e-06
0.34,300.00000046844,1.3665717199887e-06
0.35,300.00000048488,1.3841840626898e-06
0.36,300.00000050154,1.4024099955237e-06
0.37,300.00000051841,1.4212804229432e-06
0.38,300.00000053552,1.4408286135595e-06
0.39,300.00000055286,1.4610898491028e-06
0.4,300.00000057045,1.4821021482749e-06
0.41,300.0000005883,1.5039059572471e-06
0.42,300.00000060641,1.5265449080711e-06
0.43,300.0000006248,1.5500655695768e-06
0.44,300.00000064348,1.5745182441228e-06
0.45,300.00000066245,1.5999567976272e-06
0.46,300.00000068173,1.6264395044485e-06
0.47,300.00000070134,1.6540289769081e-06
0.48,300.00000072129,1.6827930748362e-06
0.49,300.00000074158,1.7128049583822e-06
0.5,300.00000076224,1.744144086651e-06
0.51,300.00000078329,1.7768964235989e-06
0.52,300.00000080473,1.8111555598576e-06
0.53,300.0000008266,1.8470231109517e-06
0.54,300.0000008489,1.8846100088704e-06
0.55,300.00000087166,1.9240371456971e-06
0.56,300.00000089491,1.9654368984418e-06
